FileKey,ImageSource,OriginalImagePath,SuperResolutionImagePath,Multiplier,scale-invariant-feature-transform_similarity_interpretation,scale-invariant-feature-transform_num_keypoints1,scale-invariant-feature-transform_num_keypoints2,scale-invariant-feature-transform_num_good_matches,scale-invariant-feature-transform_match_ratio,scale-invariant-feature-transform_avg_distance,multi-scale-structural-similarity-index_ms_ssim,multi-scale-structural-similarity-index_resized_similarity,peak-signal-to-noise-ratio_psnr,peak-signal-to-noise-ratio_nsr,learned-perceptual-image-patch-similarity_lpips,learned-perceptual-image-patch-similarity_resized_similarity
0824,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0824.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0824.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.751, Avg distance: 52.19)",1131,7722,849,0.7506631299734748,52.18673972920619,0.9878599643707275,0.25,26.75357452917124,0.03737818282598582,0.0709187462925911,0.25
0825,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0825.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0825.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.704, Avg distance: 56.66)",2435,18979,1714,0.7039014373716632,56.65877073453772,0.9825939536094666,1.0,26.32985242109512,0.03797970394998544,0.06132856011390686,1.0
0826,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0826.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0826.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.705, Avg distance: 55.75)",1637,17714,1154,0.7049480757483201,55.74673285785953,0.965976893901825,0.75,24.094746116504776,0.04150282369296289,0.1228240579366684,0.75
0827,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0827.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0827.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.738, Avg distance: 56.43)",381,2792,281,0.7375328083989501,56.434393898872294,0.9798299670219421,0.0,31.910053437621674,0.031338086034698044,0.10943976044654846,0.0
0828,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0828.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0828.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.737, Avg distance: 43.59)",300,920,221,0.7366666666666667,43.58672280333161,0.9174022674560547,1.25,17.819854233805167,0.05611718181751169,0.3753872513771057,1.25
0829,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0829.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0829.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.717, Avg distance: 50.73)",869,6454,623,0.716915995397008,50.726995261867394,0.9590421319007874,0.5,27.347911027008745,0.03656586417194359,0.18800199031829834,0.5
0830,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0830.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0830.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.713, Avg distance: 59.24)",795,10184,567,0.7132075471698113,59.23909831677795,0.9579686522483826,1.5,24.869692944406857,0.04020958369833424,0.11059579998254776,1.5
0831,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0831.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0831.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.741, Avg distance: 56.25)",2106,13714,1560,0.7407407407407407,56.24765853545605,0.9847010970115662,0.5,28.465852404642952,0.035129810475546974,0.07872316241264343,0.5
0832,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0832.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0832.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.732, Avg distance: 57.56)",1915,17610,1401,0.7315926892950392,57.55937170267616,0.9908787608146667,1.0,29.516524309663392,0.03387932771178654,0.048921532928943634,1.0
0833,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0833.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0833.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.770, Avg distance: 51.93)",473,4203,364,0.7695560253699789,51.92901246626298,0.9906787872314453,0.25,31.78239316418597,0.03146396166059802,0.08696186542510986,0.25
