FileKey,ImageSource,Multiplier,DataSource,SIFT Keypoints (Original),SIFT Keypoints (Super-Resolution),SIFT Good Matches,SIFT Match Ratio,SIFT Avg Distance,MS-SSIM,Average Perceptual Hash Functions,PSNR,NSR,LPIPS (Original),LPIPS (Super-Resolution)
0826x2,Control,2x,analysis/control_results_2x,5722,17714,4169,0.7285914016078294,47.86670627154215,0.9904670715332031,0.5,28.82346621826518,0.03469395361499959,0.05488259345293045,0.5
0827x2,Control,2x,analysis/control_results_2x,965,2792,745,0.772020725388601,41.8069563472031,0.9969056248664856,0.0,38.01676063798681,0.02630418750094104,0.03491507098078728,0.0
0828x2,Control,2x,analysis/control_results_2x,536,920,418,0.7798507462686567,28.745265800416753,0.9925068020820618,0.5,23.654283221992966,0.042275641608545265,0.04293864965438843,0.5
0829x2,Control,2x,analysis/control_results_2x,2399,6454,1812,0.7553147144643602,39.480825194525664,0.9810891151428223,0.25,30.81490185904415,0.03245183140852681,0.10011285543441772,0.25
0830x2,Control,2x,analysis/control_results_2x,2979,10184,2196,0.7371601208459214,48.314947914881785,0.9910668730735779,0.0,29.788931264168497,0.033569515842377544,0.04941711574792862,0.0
0831x2,Control,2x,analysis/control_results_2x,5712,13714,4447,0.7785364145658263,44.12907389254685,0.9977704882621765,0.0,35.62304242351688,0.028071717965892796,0.022708900272846222,0.0
0832x2,Control,2x,analysis/control_results_2x,5885,17610,4609,0.7831775700934579,46.64448403163752,0.9982712268829346,0.25,37.755278794075636,0.026486362488651913,0.014942584559321404,0.25
0833x2,Control,2x,analysis/control_results_2x,1295,4203,1023,0.78996138996139,39.53055989415998,0.9980242252349854,0.75,38.63991242634536,0.02587997583861455,0.02210872806608677,0.75
0834x2,Control,2x,analysis/control_results_2x,5087,21039,3744,0.7359937094554747,46.534178829027546,0.9957630038261414,0.25,30.92993763147176,0.03233113535225762,0.03827521950006485,0.25
0835x2,Control,2x,analysis/control_results_2x,11063,39970,8066,0.7290969899665551,46.617880346223494,0.990803062915802,0.0,28.262984984167083,0.035381966928128776,0.0852249339222908,0.0
0836x2,Control,2x,analysis/control_results_2x,4391,14087,3163,0.7203370530630836,42.58823784314263,0.994068443775177,0.0,30.35143697660629,0.032947369205970745,0.035284724086523056,0.0
0837x2,Control,2x,analysis/control_results_2x,8260,20997,6400,0.774818401937046,44.828531129211186,0.9967477917671204,0.0,31.057576103951142,0.03219826288609754,0.03414025157690048,0.0
0838x2,Control,2x,analysis/control_results_2x,865,2084,739,0.8543352601156069,36.32718664206091,0.9980387687683105,0.0,43.35916195448518,0.023063176383568397,0.024382401257753372,0.0
0839x2,Control,2x,analysis/control_results_2x,6116,16801,4634,0.7576847612818836,44.87754573791666,0.9971300959587097,0.0,34.602500518024875,0.028899645546687804,0.02857484109699726,0.0
0840x2,Control,2x,analysis/control_results_2x,9146,23830,7181,0.7851519790072162,43.62200170724675,0.997822105884552,0.0,34.39562803002509,0.029073462450723876,0.028885791078209877,0.0
0841x2,Control,2x,analysis/control_results_2x,5093,15398,3949,0.775377969762419,45.70542816238543,0.9972454905509949,0.25,33.885454546527825,0.029511187421933757,0.028569761663675308,0.25
0842x2,Control,2x,analysis/control_results_2x,4459,15461,3481,0.7806683112805561,44.419453010686475,0.997715413570404,0.25,35.65929833881623,0.028043176579037443,0.021544257178902626,0.25
0843x2,Control,2x,analysis/control_results_2x,240,404,211,0.8791666666666667,29.63939072961491,0.9996089935302734,3.0,43.757539535117395,0.022853204513417737,0.006250164471566677,3.0
0844x2,Control,2x,analysis/control_results_2x,614,837,497,0.8094462540716613,33.28402716101295,0.9993557929992676,0.0,46.7438445104719,0.021393191135058918,0.002758161397650838,0.0
0845x2,Control,2x,analysis/control_results_2x,5974,15164,4163,0.6968530297957817,38.60270396643123,0.9925942420959473,0.0,27.91720295375283,0.035820207406042186,0.04681212455034256,0.0
0846x2,Control,2x,analysis/control_results_2x,4626,10941,3579,0.7736705577172504,42.98737771473107,0.9921552538871765,0.0,29.693372406322073,0.033677548858919375,0.043178290128707886,0.0
0847x2,Control,2x,analysis/control_results_2x,5079,15721,3966,0.780862374483166,43.86990805551132,0.996192991733551,0.0,32.87819272095205,0.030415297108552355,0.023456275463104248,0.0
0848x2,Control,2x,analysis/control_results_2x,3755,10343,2804,0.7467376830892144,39.670880361519934,0.9929158687591553,0.0,31.188172585302944,0.032063436780878855,0.03617776185274124,0.0
0849x2,Control,2x,analysis/control_results_2x,12031,34880,8960,0.744742747901255,46.240066421670576,0.9957265257835388,0.25,26.884820982119088,0.03719570982693518,0.0439247265458107,0.25
0850x2,Control,2x,analysis/control_results_2x,4240,10308,3206,0.7561320754716981,44.51748262337425,0.9959607124328613,0.25,33.41781485944794,0.029924158841800465,0.032647889107465744,0.25
0851x2,Control,2x,analysis/control_results_2x,3305,9931,2307,0.6980332829046899,47.42691335189275,0.9973607659339905,0.25,34.22984673840741,0.029214270447724663,0.01589522883296013,0.25
0852x2,Control,2x,analysis/control_results_2x,2421,11331,1783,0.7364725320115655,49.10886799787713,0.9967343807220459,0.0,35.80453300920275,0.0279294244598295,0.03116500750184059,0.0
0853x2,Control,2x,analysis/control_results_2x,2507,6144,2025,0.8077383326685281,43.252574800444236,0.9987604022026062,0.0,40.63918841217826,0.024606790614458536,0.011011017486453056,0.0
0854x2,Control,2x,analysis/control_results_2x,5676,16694,4304,0.7582804792107117,46.5402541456114,0.9940019249916077,0.5,29.871097919756906,0.03347717592056081,0.04345918446779251,0.5
0855x2,Control,2x,analysis/control_results_2x,6278,19104,4817,0.7672825740681746,44.79814820861777,0.993259608745575,0.25,34.69584244883521,0.028821897075266768,0.07345854490995407,0.25
0856x2,Control,2x,analysis/control_results_2x,8096,37466,5929,0.7323369565217391,49.22553253913734,0.995522677898407,0.0,31.21814419672438,0.03203265362919705,0.044011663645505905,0.0
0857x2,Control,2x,analysis/control_results_2x,599,920,503,0.8397328881469115,33.546883312892724,0.9924420714378357,0.0,38.64089657591985,0.025879316698442706,0.14108756184577942,0.0
0858x2,Control,2x,analysis/control_results_2x,6977,22466,5316,0.761932062491042,46.37845016622382,0.9964444041252136,0.0,34.19286688088853,0.029245865913598824,0.03433534502983093,0.0
